protocol,faults,delay_ms,rate,run,tps,latency_ms
noveldag,0,100,200000,2,147033.048048,2749.816853
noveldag,0,100,200000,3,137682.370104,2745.449511
noveldag,0,100,200000,mean,138975.1,2862.9
noveldag,0,0,60000,1,59212.906522,449.472096
noveldag,0,0,60000,2,59669.535495,428.212458
noveldag,0,0,60000,3,59911.025269,425.835311
noveldag,0,0,60000,mean,59597.822429,434.506622
noveldag,0,0,130000,1,129967.733425,432.940843
noveldag,0,0,130000,2,128980.379062,444.205408
noveldag,0,0,130000,3,129947.770564,443.894790
noveldag,0,0,130000,mean,129631.961017,440.347013
noveldag,0,0,200000,1,197585.843041,441.454701
noveldag,0,0,200000,2,196147.150466,440.496831
noveldag,0,0,200000,3,195367.004350,442.333803
noveldag,0,0,200000,mean,196366.665952,441.428445
noveldag,0,0,270000,1,248161.221988,417.330449
noveldag,0,0,270000,2,190135.103880,379.491806
noveldag,0,0,270000,3,255559.966808,429.564097
noveldag,0,0,270000,mean,231285.430892,408.795451
noveldag,1,0,60000,1,59685.382710,608.513623
noveldag,1,0,60000,2,59578.964394,441.880270
noveldag,1,0,60000,3,59689.529202,435.646472
noveldag,1,0,60000,mean,59651.292102,495.346788
noveldag,1,0,130000,1,129831.855470,449.704492
noveldag,1,0,130000,2,129635.089142,442.095338
noveldag,1,0,130000,3,129855.397700,441.471904
noveldag,1,0,130000,mean,129774.114104,444.423911
noveldag,1,0,200000,1,197556.582004,453.737729
noveldag,1,0,200000,2,198373.892061,611.209286
noveldag,1,0,200000,3,197980.860488,572.225023
noveldag,1,0,200000,mean,197970.444851,545.724013
noveldag,1,0,270000,1,226670.476190,422.401631
noveldag,1,0,270000,2,254886.496484,592.265051
noveldag,1,0,270000,3,258531.875461,541.080197
noveldag,1,0,270000,mean,246696.282712,518.582293
noveldag,3,0,60000,1,59617.301449,722.698321
noveldag,3,0,60000,2,59702.842391,841.732083
noveldag,3,0,60000,3,59353.959661,878.857135
noveldag,3,0,60000,mean,59558.034500,814.429180
noveldag,3,0,130000,1,129637.442222,843.134179
noveldag,3,0,130000,2,129822.285979,851.051736
noveldag,3,0,130000,3,130004.030934,834.475018
noveldag,3,0,130000,mean,129821.253045,842.886978
noveldag,3,0,200000,1,197902.491908,584.682840
noveldag,3,0,200000,2,198268.236258,996.986265
